Date,Result,LAL Points,Opp points,LAL 3P%,REB
"Sun, Mar 19, 2023",W,111,105,40.6,52
"Wed, Mar 22, 2023",W,122,111,47.1,36
"Fri, Mar 24, 2023",W,116,111,35.3,53
"Sun, Mar 26, 2023",L,108,118,36.1,38
"Wed, Mar 29, 2023",W,121,110,35,45
"Fri, Mar 31, 2023",W,123,111,40.9,53
"Sun, Apr 2, 2023",W,134,109,30,51
"Tue, Apr 4, 2023",W,135,133,35.3,44
"Wed, Apr 5, 2023",L,118,125,41.4,44
"Fri, Apr 7, 2023",W,121,107,50,54
"Sun, Apr 9, 2023",W,128,117,40,49
"Tue, Apr 11, 2023",W,108,102,32.3,48
"Sun, Apr 16, 2023",W,128,112,43.2,45
"Wed, Apr 19, 2023",L,93,103,26.9,47
"Sat, Apr 22, 2023",W,111,101,25,48
"Mon, Apr 24, 2023",W,117,111,27.8,52
"Wed, Apr 26, 2023",L,99,116,25.6,54
"Fri, Apr 28, 2023",W,125,85,34.1,52
"Tue, May 2, 2023",W,117,112,24,53
"Thu, May 4, 2023",L,100,127,29.4,40
"Sat, May 6, 2023",W,127,97,48.4,44
"Mon, May 8, 2023",W,104,101,24,42
"Wed, May 10, 2023",L,106,121,37,38
"Fri, May 12, 2023",W,122,101,50,46
"Tue, May 16, 2023",L,126,132,45.8,30
"Thu, May 18, 2023",L,103,108,26.7,40
"Sat, May 20, 2023",L,108,119,31.3,45
"Mon, May 22, 2023",L,111,113,40,38
